Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=2.333333 | time_average=0.013200s
e1_easy: reward_average=0.633333 | time_average=0.001051s
e2_easy: reward_average=1.066667 | time_average=0.000982s
e3_easy: reward_average=0.000000 | time_average=0.001008s
e4_easy: reward_average=1.333333 | time_average=0.001084s
e5_easy: reward_average=0.233333 | time_average=0.003087s
m1_easy: reward_average=0.000000 | time_average=0.001272s
m2_easy: reward_average=0.400000 | time_average=0.001013s
m3_easy: reward_average=0.000000 | time_average=0.001055s
m4_easy: reward_average=0.533333 | time_average=0.001099s
m5_easy: reward_average=0.000000 | time_average=0.001172s
rl_easy: reward_average=13.900000 | time_average=0.000875s
p1_med: reward_average=1.066667 | time_average=0.000920s
e1_med: reward_average=0.600000 | time_average=0.001002s
e2_med: reward_average=0.466667 | time_average=0.001011s
e3_med: reward_average=0.000000 | time_average=0.001089s
e4_med: reward_average=1.000000 | time_average=0.001004s
e5_med: reward_average=0.000000 | time_average=0.000961s
m1_med: reward_average=0.100000 | time_average=0.001289s
m2_med: reward_average=0.400000 | time_average=0.001141s
m3_med: reward_average=0.533333 | time_average=0.001320s
m4_med: reward_average=0.433333 | time_average=0.000988s
m5_med: reward_average=0.000000 | time_average=0.001648s
rl_med: reward_average=10.333333 | time_average=0.000889s
p1_hard: reward_average=1.166667 | time_average=0.001158s
e1_hard: reward_average=0.933333 | time_average=0.001047s
e2_hard: reward_average=0.700000 | time_average=0.001156s
e3_hard: reward_average=0.000000 | time_average=0.001466s
e4_hard: reward_average=0.600000 | time_average=0.001445s
e5_hard: reward_average=0.000000 | time_average=0.003678s
m1_hard: reward_average=0.000000 | time_average=0.001983s
m2_hard: reward_average=0.266667 | time_average=0.002048s
m3_hard: reward_average=0.466667 | time_average=0.002380s
m4_hard: reward_average=1.300000 | time_average=0.003903s
m5_hard: reward_average=0.000000 | time_average=0.001649s
rl_hard: reward_average=18.633333 | time_average=0.000864s
Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=41.600000 | time_average=0.004175s
e1_easy: reward_average=36.900000 | time_average=0.003038s
e2_easy: reward_average=37.200000 | time_average=0.001933s
e3_easy: reward_average=86.100000 | time_average=0.002472s
e4_easy: reward_average=38.933333 | time_average=0.002321s
e5_easy: reward_average=100.866667 | time_average=0.002247s
m1_easy: reward_average=80.833333 | time_average=0.002481s
m2_easy: reward_average=38.966667 | time_average=0.002513s
m3_easy: reward_average=72.700000 | time_average=0.002589s
m4_easy: reward_average=39.133333 | time_average=0.003189s
m5_easy: reward_average=85.133333 | time_average=0.002515s
rl_easy: reward_average=374.500000 | time_average=0.001440s
p1_med: reward_average=36.766667 | time_average=0.001775s
e1_med: reward_average=35.333333 | time_average=0.002816s
e2_med: reward_average=36.200000 | time_average=0.001942s
e3_med: reward_average=96.166667 | time_average=0.002782s
e4_med: reward_average=35.266667 | time_average=0.002318s
e5_med: reward_average=85.400000 | time_average=0.002208s
m1_med: reward_average=120.433333 | time_average=0.002952s
m2_med: reward_average=105.100000 | time_average=0.002827s
m3_med: reward_average=92.700000 | time_average=0.002961s
m4_med: reward_average=37.066667 | time_average=0.003213s
m5_med: reward_average=127.033333 | time_average=0.002978s
rl_med: reward_average=343.133333 | time_average=0.001625s
p1_hard: reward_average=49.966667 | time_average=0.002481s
e1_hard: reward_average=35.300000 | time_average=0.003058s
e2_hard: reward_average=40.266667 | time_average=0.002142s
e3_hard: reward_average=106.433333 | time_average=0.003611s
e4_hard: reward_average=35.266667 | time_average=0.003973s
e5_hard: reward_average=80.133333 | time_average=0.002651s
m1_hard: reward_average=116.133333 | time_average=0.003203s
m2_hard: reward_average=116.400000 | time_average=0.003581s
m3_hard: reward_average=94.500000 | time_average=0.003980s
m4_hard: reward_average=48.233333 | time_average=0.004519s
m5_hard: reward_average=70.333333 | time_average=0.003074s
rl_hard: reward_average=351.166667 | time_average=0.001391s
Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=41.600000 | time_average=0.002461s
e1_easy: reward_average=36.900000 | time_average=0.003249s
e2_easy: reward_average=37.200000 | time_average=0.002079s
e3_easy: reward_average=86.100000 | time_average=0.002585s
e4_easy: reward_average=38.933333 | time_average=0.002491s
e5_easy: reward_average=100.866667 | time_average=0.002126s
m1_easy: reward_average=80.833333 | time_average=0.002548s
m2_easy: reward_average=38.966667 | time_average=0.004191s
m3_easy: reward_average=72.700000 | time_average=0.002753s
m4_easy: reward_average=39.133333 | time_average=0.003721s
m5_easy: reward_average=85.133333 | time_average=0.002757s
rl_easy: reward_average=374.500000 | time_average=0.001762s
p1_med: reward_average=36.766667 | time_average=0.001789s
e1_med: reward_average=35.333333 | time_average=0.002898s
e2_med: reward_average=36.200000 | time_average=0.001912s
e3_med: reward_average=96.166667 | time_average=0.002829s
e4_med: reward_average=35.266667 | time_average=0.002269s
e5_med: reward_average=85.400000 | time_average=0.002172s
m1_med: reward_average=120.433333 | time_average=0.002905s
m2_med: reward_average=105.100000 | time_average=0.002765s
m3_med: reward_average=92.700000 | time_average=0.002975s
m4_med: reward_average=37.066667 | time_average=0.003032s
m5_med: reward_average=127.033333 | time_average=0.003171s
rl_med: reward_average=343.133333 | time_average=0.001621s
p1_hard: reward_average=49.966667 | time_average=0.002354s
e1_hard: reward_average=35.300000 | time_average=0.002966s
e2_hard: reward_average=40.266667 | time_average=0.002150s
e3_hard: reward_average=106.433333 | time_average=0.003694s
e4_hard: reward_average=35.266667 | time_average=0.003786s
e5_hard: reward_average=80.133333 | time_average=0.002556s
m1_hard: reward_average=116.133333 | time_average=0.003107s
m2_hard: reward_average=116.400000 | time_average=0.003565s
m3_hard: reward_average=94.500000 | time_average=0.004089s
m4_hard: reward_average=48.233333 | time_average=0.004456s
m5_hard: reward_average=70.333333 | time_average=0.003099s
rl_hard: reward_average=351.166667 | time_average=0.001490s
Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=41.600000 | time_average=0.002382s
e1_easy: reward_average=36.900000 | time_average=0.002914s
e2_easy: reward_average=37.200000 | time_average=0.001934s
e3_easy: reward_average=86.100000 | time_average=0.002403s
e4_easy: reward_average=38.933333 | time_average=0.003609s
e5_easy: reward_average=100.866667 | time_average=0.002290s
m1_easy: reward_average=80.833333 | time_average=0.002456s
m2_easy: reward_average=38.966667 | time_average=0.002570s
m3_easy: reward_average=72.700000 | time_average=0.002528s
m4_easy: reward_average=39.133333 | time_average=0.003051s
m5_easy: reward_average=85.133333 | time_average=0.002592s
rl_easy: reward_average=374.500000 | time_average=0.001509s
p1_med: reward_average=36.766667 | time_average=0.001742s
e1_med: reward_average=35.333333 | time_average=0.002937s
e2_med: reward_average=36.200000 | time_average=0.001859s
e3_med: reward_average=96.166667 | time_average=0.002656s
e4_med: reward_average=35.266667 | time_average=0.002383s
e5_med: reward_average=85.400000 | time_average=0.002249s
m1_med: reward_average=120.433333 | time_average=0.002978s
m2_med: reward_average=105.100000 | time_average=0.002804s
m3_med: reward_average=92.700000 | time_average=0.002926s
m4_med: reward_average=37.066667 | time_average=0.003173s
m5_med: reward_average=127.033333 | time_average=0.002921s
rl_med: reward_average=343.133333 | time_average=0.001467s
p1_hard: reward_average=49.966667 | time_average=0.004058s
e1_hard: reward_average=35.300000 | time_average=0.003011s
e2_hard: reward_average=40.266667 | time_average=0.002066s
e3_hard: reward_average=106.433333 | time_average=0.003611s
e4_hard: reward_average=35.266667 | time_average=0.002257s
e5_hard: reward_average=80.133333 | time_average=0.002590s
m1_hard: reward_average=116.133333 | time_average=0.003990s
m2_hard: reward_average=116.400000 | time_average=0.007643s
m3_hard: reward_average=94.500000 | time_average=0.005125s
m4_hard: reward_average=48.233333 | time_average=0.004668s
m5_hard: reward_average=70.333333 | time_average=0.003289s
rl_hard: reward_average=351.166667 | time_average=0.001584s
Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=41.600000 | time_average=0.002503s
e1_easy: reward_average=20.633333 | time_average=0.003387s
e2_easy: reward_average=25.200000 | time_average=0.002202s
e3_easy: reward_average=13.833333 | time_average=0.002836s
e4_easy: reward_average=38.933333 | time_average=0.002277s
e5_easy: reward_average=24.800000 | time_average=0.002686s
m1_easy: reward_average=16.233333 | time_average=0.002503s
m2_easy: reward_average=18.066667 | time_average=0.004611s
m3_easy: reward_average=19.500000 | time_average=0.003325s
m4_easy: reward_average=30.866667 | time_average=0.003830s
m5_easy: reward_average=30.266667 | time_average=0.002696s
rl_easy: reward_average=370.200000 | time_average=0.001516s
p1_med: reward_average=36.766667 | time_average=0.001830s
e1_med: reward_average=21.033333 | time_average=0.003157s
e2_med: reward_average=25.000000 | time_average=0.002145s
e3_med: reward_average=15.000000 | time_average=0.003047s
e4_med: reward_average=35.266667 | time_average=0.002221s
e5_med: reward_average=24.333333 | time_average=0.002689s
m1_med: reward_average=19.700000 | time_average=0.003051s
m2_med: reward_average=19.400000 | time_average=0.003448s
m3_med: reward_average=19.266667 | time_average=0.004096s
m4_med: reward_average=28.400000 | time_average=0.005047s
m5_med: reward_average=35.900000 | time_average=0.003152s
rl_med: reward_average=338.566667 | time_average=0.001537s
p1_hard: reward_average=49.966667 | time_average=0.003804s
e1_hard: reward_average=20.866667 | time_average=0.003318s
e2_hard: reward_average=28.200000 | time_average=0.002404s
e3_hard: reward_average=23.066667 | time_average=0.004496s
e4_hard: reward_average=35.266667 | time_average=0.002421s
e5_hard: reward_average=31.533333 | time_average=0.003664s
m1_hard: reward_average=18.066667 | time_average=0.003752s
m2_hard: reward_average=25.433333 | time_average=0.004572s
